subject_id,true_age,pred_age,pred_vs_true误差,bio_age_ei误差,bio_age_ei_texture误差,bio_age_texture误差,主轴平均误差
1570,71.398,63.322,8.075999999999993,5.4716971319923005,5.509146418892343,5.687074452165305,5.555972667683316
1296,51.376,49.97866666666667,1.3973333333333289,8.665991640044439,3.230213777158319,4.755886681163638,5.550697366122132
1442,67.425,58.19533333333334,9.22966666666666,6.062005925723,4.580042794971469,6.005441913893563,5.549163544862677
1210,59.524,42.912,16.612000000000002,9.837935888197514,4.452823763182224,2.333119678307241,5.541293109895659
772,58.374,48.80166666666667,9.572333333333331,10.86635949139324,2.4597604695851345,3.2963724035560986,5.540830788178158
1543,65.306,77.40033333333334,12.094333333333338,8.005676720662109,4.256991483850143,4.346360879293471,5.536343027935241
1773,74.073,82.87266666666666,8.799666666666667,11.8075631301476,2.969251312442026,1.8304646445066908,5.535759695698772
1318,49.91400000000001,28.420666666666666,21.493333333333343,14.665907280062251,0.7470803344928783,1.1864313428132078,5.533139652456112
574,81.582,60.733,20.84899999999999,14.67814305073351,1.1802373414954277,0.7153354922500554,5.524571961492998
541,55.830000000000005,48.74933333333333,7.080666666666673,10.311466849473597,3.046821491579188,3.1855705514165606,5.514619630823115
1661,32.997,40.04966666666667,7.052666666666667,10.109527092234435,2.468111476458489,3.867758012450757,5.481798860381228
1491,44.296,50.336333333333336,6.040333333333336,6.72305084974046,4.4089132652685095,5.309731228484111,5.4805651144976935
1140,60.876,60.23066666666667,0.6453333333333262,8.231634848011076,3.830176187377326,4.371547443520477,5.477786159636293
811,57.281,65.34733333333334,8.06633333333334,8.88162997520056,4.695135833192992,2.807138095115782,5.461301301169779
1313,27.526,40.74066666666667,13.21466666666667,11.45846704937997,3.0657122286713445,1.8102791264537568,5.444819468168357
1450,56.843,52.002,4.841000000000001,7.176806909190354,3.807295649668994,5.342528637279855,5.442210398713068
1797,46.138,46.27366666666666,0.1356666666666655,8.590688631508584,4.270154015098619,3.44282857037853,5.434557072328578
1216,74.396,63.395333333333326,11.000666666666676,2.3588581648402283,6.379008081863887,7.510960154402824,5.416275467035646
1454,74.62,64.33,10.290000000000006,3.3063233745084304,6.251711080819625,6.6816739038384725,5.413236119722176
1380,50.35999999999999,62.62466666666666,12.26466666666667,10.998872043890728,2.7025644056077525,2.5250102602871323,5.408815569928538
1421,57.503,59.3755,1.8725000000000025,13.94043164592948,1.595747977540448,0.6542457167973836,5.39680844675577
1766,57.476,55.67466666666667,1.801333333333332,11.9858067364759,2.993159422405796,1.020775178093707,5.333247112325134
1082,22.193,36.79166666666666,14.598666666666665,13.335602861034545,1.9283887307579093,0.647536077407743,5.303842556400066
1788,67.951,53.11000000000001,14.840999999999989,11.908870625614576,1.55128144832139,2.276996840478418,5.245716304804795
1283,44.654,44.11966666666667,0.5343333333333362,6.532523746006959,4.826402252674505,4.366560876352139,5.241828958344534
648,77.281,66.664,10.617000000000004,6.439069717537741,4.472898089149673,4.764240506104116,5.22540277093051
1287,18.982,32.57,13.588,12.838876602553626,1.102074124475486,1.6587906388113396,5.199913788613483
1660,54.322,55.635,1.3129999999999953,1.3830719909800493,6.631678520878609,7.583536055274735,5.199428855711131
1476,34.47,49.512,15.042000000000002,9.936261809749093,3.055005707759463,2.5253899212055373,5.172219146238031
986,65.295,56.74533333333333,8.549666666666674,13.43672479320164,1.0872885055436825,0.9430112537915888,5.155674850845637
1409,55.838,50.239,5.599000000000004,12.013647869591864,1.8519185103240328,1.531214184545945,5.132260188153947
753,32.643,39.29133333333333,6.648333333333333,1.0451960620434448,8.41278196279228,5.915676374721279,5.1245514665190015
839,69.629,58.67133333333334,10.957666666666668,5.760118322973284,4.966274899672214,4.548042142762391,5.091478455135963
1653,41.254,50.80533333333333,9.551333333333332,4.215299995920844,5.382522000357071,5.664168761245811,5.0873302525079085
1809,48.816,49.714666666666666,0.8986666666666636,6.077765771958788,4.554604123892986,4.588770482395418,5.073713459415731
808,65.432,54.907,10.525000000000006,4.881913460924181,5.137116390452704,5.190846090888044,5.069958647421643
1173,68.86,60.417,8.442999999999998,7.082719030757453,3.3312131365107334,4.737667412615252,5.05053319329448
1192,78.445,63.655,14.789999999999992,11.626189141668933,1.3875219340975633,2.1255624014256966,5.0464244923973975
1732,55.036,47.722,7.314,12.6566835811674,2.126054658961408,0.3471590595465059,5.0432990998917715
1579,73.728,68.68666666666667,5.041333333333327,8.439032370119584,2.753922793111329,3.914360711540098,5.035771958257004
1819,40.649,31.39633333333333,9.252666666666666,5.141745800998049,3.3859481465876837,6.474168568520145,5.000620838701959
1717,62.982,52.71233333333333,10.269666666666666,6.745615313193667,4.972310528804563,3.253593522535141,4.990506454844457
1128,49.971,62.067,12.096000000000004,0.2893238237057147,7.54501290458591,7.133973841287016,4.989436856526214
663,61.755,68.086,6.330999999999996,8.369324676651772,2.8512891606104347,3.666797353809983,4.962470397024063
1252,65.837,65.039,0.7980000000000018,6.373770676516976,6.588738689096687,1.915241253335836,4.9592502063165
1627,65.257,59.01,6.247000000000007,6.605279004225494,3.895068550822664,4.359886465471114,4.953411340173091
1858,48.912,63.59333333333333,14.681333333333336,2.270415801299229,5.840596638747435,6.734145497169358,4.9483859790720075
1576,28.041,40.65166666666667,12.61066666666667,6.325609021881832,4.793102239471445,3.704818665765522,4.941176642372933
575,69.481,56.85333333333333,12.627666666666665,7.68856417588546,4.041371056835445,3.080901871947105,4.936945701556003
691,75.113,66.40266666666666,8.710333333333338,10.262615643204192,1.8075703376686647,2.7248903046758173,4.931692095182892
716,72.282,57.51166666666666,14.770333333333332,8.980082898834013,4.29381585590945,1.5196520676526717,4.931183607465378
1487,25.038,32.388,7.349999999999998,11.817395874358724,2.304979995657796,0.6690515552750043,4.930475808430508
713,32.682,39.41633333333333,6.734333333333332,7.910089705767376,3.325246620577417,3.531863722029769,4.922400016124854
1516,54.489,35.689,18.8,7.938327169534986,3.467910605866038,3.3556289178571177,4.920622231086047
662,83.165,74.23733333333332,8.927666666666681,1.088778944086144,5.9462517641330805,7.7251461173975855,4.92005894187227
1339,60.463,58.73075,1.7322500000000003,4.382441416303209,4.43637894872532,5.920768770623873,4.913196378550801
1453,49.689,68.50833333333334,18.81933333333334,8.817206560589405,2.746163149965213,3.1070389688996443,4.890136226484754
1122,58.396,52.046,6.349999999999994,6.499895354259216,3.2647460543620355,4.88815409226293,4.884265166961394
1526,64.142,57.16,6.981999999999992,10.406505608920703,1.4837561431045998,2.743791208553887,4.878017653526396
1423,71.806,66.93333333333334,4.87266666666666,2.206225528751361,7.060508421647526,5.364950674737955,4.8772282083789475
1002,61.851,57.838,4.012999999999998,12.97315582246464,0.449444969410834,1.1956763280897604,4.872759039988412
854,34.606,41.972,7.366,9.767305814943434,2.8847050895845,1.923325486860307,4.85844546379608
1143,69.993,72.01333333333334,2.0203333333333404,6.166482645724472,5.446697166573102,2.93598042168874,4.849720077995438
1841,38.155,42.29025,4.135249999999999,0.3083697420869313,7.409358063210945,6.773163930965417,4.8302972454210975
1342,34.204,43.243,9.039,6.667464227711683,4.066006817968507,3.753975971176743,4.829149005618977
1355,50.776,47.464666666666666,3.311333333333337,8.818097271050163,3.1546302614566386,2.48485971034642,4.819195747617741
